Day,Close
0,3.9340
1,3.9070
2,3.9070
3,3.9038
4,3.8727
5,3.7408
6,3.7708
7,3.7987
8,3.8480
9,3.8480
10,3.8598
11,3.8477
12,3.9098
13,3.8359
14,3.8869
15,3.8759
16,3.8759
17,3.8748
18,3.8998
19,3.8458
20,3.8419
21,3.7838
22,3.8040
23,3.8040
24,3.8099
25,3.8880
26,3.8668
27,3.8130
28,3.8109
29,3.8228
30,3.8228
31,3.8598
32,3.9148
33,3.8827
34,3.8017
35,3.7899
36,3.7899
37,3.7899
38,3.7888
39,3.7248
40,3.6640
41,3.6460
42,3.7159
43,3.6180
44,3.6180
45,3.6050
46,3.6219
47,3.6447
48,3.6259
49,3.6290
50,3.6898
51,3.6898
52,3.6908
53,3.6269
54,3.6810
55,3.7069
56,3.7639
57,3.8260
58,3.8260
59,3.8428
60,3.8338
61,3.8316
62,3.7808
63,3.7349
64,3.7158
65,3.7158
66,3.6770
67,3.7559
68,3.6800
69,3.6598
70,3.6659
71,3.6289
72,3.6289
73,3.6539
74,3.5279
75,3.5019
76,3.4829
77,3.4679
78,3.4347
79,3.4347
80,3.4590
81,3.5240
82,3.4679
83,3.4198
84,3.4339
85,3.4478
86,3.4478
87,3.4580
88,3.4709
89,3.4628
90,3.3658
91,3.3619
92,3.3429
93,3.3429
94,3.2880
95,3.3329
96,3.3060
97,3.3719
98,3.3638
